"Feature name","Data Type","Feature Desciption","used"
"total_ip_acute_admit_ct_pmpm","double","admits per month for overall claims related to acute inpatient facilities in the past one year","yes"
"rev_pm_opsrc_pmpm_cd_ct","float","claim lines per month for a revenue code related to outpatient special residence charges in the past one year","no"
"bh_otot_pmpm_ct","float","count per month of behavioral health claims related to other other in the past one year","no"
"cci_cvd_pmpm_ct","float","count per month of claims related to cerebrovascular disease in the past one year {Based on Charlson Comorbidity Index Categories}","no"
"total_allowed_pmpm_cost","double","allowed cost per month for overall claims in the past one year","yes"
"cci_aoi_pmpm_ct","float","count per month of claims related to aids with opportunistic infections in the past one year {Based on Charlson Comorbidity Index Categories}","no"
"rx_nonmail_pmpm_ct","float","count per month of prescriptions related to non mail drugs in the past one year","yes"
"rx_hum_73_pmpm_ct","float","count per month of prescriptions related to PAIN MGMT - ANALGESICS drugs in the past one year {Based on Humana drug classification}","no"
"med_ip_snf_ds_clm","integer","days since last claim for non-behavioral health claims related to skilled nursing inpatient facilities in the past one year","no"
"est_age","integer","Member age {calculated using est_bday, relative to score/index date}","yes"
"cnt_cp_livecall_2","integer","count per month of member interactions via livecall with a lag of _2 from the score date in the past one year","no"
"rx_hum_68_pmpm_cost","float","cost per month of prescriptions related to OPHTHALMOLOGY - DRY EYE AGENTS drugs in the past one year {Based on Humana drug classification}","no"
"rx_hum_16_pmpm_ct","float","count per month of prescriptions related to CARDIOLOGY - HEART FAILURE drugs in the past one year {Based on Humana drug classification}","yes"
"bh_otpa_pmpm_ct","float","count per month of behavioral health claims related to other paraphilia in the past one year","no"
"cmsd2_mus_synovium/tendon_pmpm_ct","float","claims per month related to diseases of the musculoskeletal system and connective tissue : disorders of synovium and tendon in the past one year {based on CMS diagnosis code level2}","no"
"cnt_cp_webstatement_1","integer","count per month of member interactions via webstatement with a lag of _1 from the score date in the past one year","yes"
"cmsd2_neo_temp_pmpm_ct","float","claims per month related to certain conditions originating in the perinatal period : conditions involving the integument and temperature regulation of newborn in the past one year {based on CMS diagnosis code level2}","no"
"rev_pm_excl_pmpm_cd_ct","float","claim lines per month for a revenue code related to excluded in the past one year","no"
"cnt_cp_webstatement_pmpm_ct","float","count per month of member interactions via webstatement in the past one year","yes"
"rev_pm_spcha_pmpm_cd_ct","float","claim lines per month for a revenue code related to special charges in the past one year","no"
"cnt_cp_print_8","integer","count per month of member interactions via print with a lag of _8 from the score date in the past one year","yes"
"cmsd2_ano_urinary_pmpm_ct","float","claims per month related to congenital malformations, deformations and chromosomal abnormalities : congenital malformations of the urinary system in the past one year {based on CMS diagnosis code level2}","no"
"total_ip_snf_allowed_pmpm_cost","double","allowed cost per month for overall claims related to skilled nursing inpatient facilities in the past one year","no"
"cnt_cp_livecall_5","integer","count per month of member interactions via livecall with a lag of _5 from the score date in the past one year","no"
"total_ip_acute_admit_days_pmpm","double","admitted days per month for overall claims related to acute inpatient facilities in the past one year","no"
"cmsd1_neo_pmpm_ct","float","claims per month related to certain conditions originating in the perinatal period in the past one year {based on CMS diagnosis code level1}","no"
"bh_ip_mhsa_allowed_pmpm_cost","double","allowed cost per month for behavioral health claims related to mental health and substance abuse inpatient facilities in the past one year","no"
"cci_ctd_pmpm_ct","float","count per month of claims related to connective tissue disease in the past one year {Based on Charlson Comorbidity Index Categories}","no"
"cmsd2_gus_kidney_pmpm_ct","float","claims per month related to diseases of the genitourinary system : acute kidney failure and chronic kidney disease in the past one year {based on CMS diagnosis code level2}","yes"
"cmsd2_mus_soft_tissue_pmpm_ct","float","claims per month related to diseases of the musculoskeletal system and connective tissue : other soft tissue disorders in the past one year {based on CMS diagnosis code level2}","yes"
"cmsd2_mus_bone_pmpm_ct","float","claims per month related to diseases of the musculoskeletal system and connective tissue : disorders of bone density and structure in the past one year {based on CMS diagnosis code level2}","yes"
"cmsd2_ano_ano_res_pmpm_ct","float","claims per month related to congenital malformations, deformations and chromosomal abnormalities : congenital malformations of the respiratory system in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_inj_head_pmpm_ct","float","claims per month related to injury, poisoning and certain other consequences of external causes : injuries to the head in the past one year {based on CMS diagnosis code level2}","no"
"bh_ednd_pmpm_ct","float","count per month of behavioral health claims related to neuro development disorder: eating disorder in the past one year","no"
"cmsd2_ner_ner_degen_pmpm_ct","float","claims per month related to diseases of the nervous system : other degenerative diseases of the nervous system in the past one year {based on CMS diagnosis code level2}","no"
"rwjf_air_pollute_density","float","Physical Environment - Average daily density of fine particulate matter in micrograms per cubic meter (PM2.5)","yes"
"rx_hum_05_pmpm_ct","float","count per month of prescriptions related to ANTI-INFECTIVES - HIV AGENTS drugs in the past one year {Based on Humana drug classification}","no"
"cnt_cp_livecall_11","integer","count per month of member interactions via livecall with a lag of _11 from the score date in the past one year","no"
"cmsd2_cir_ischemic_pmpm_ct","float","claims per month related to diseases of the circulatory system : ischemic heart diseases in the past one year {based on CMS diagnosis code level2}","yes"
"cmsd2_ano_cir_pmpm_ct","float","claims per month related to congenital malformations, deformations and chromosomal abnormalities : congenital malformations of the circulatory system in the past one year {based on CMS diagnosis code level2}","no"
"cons_mobplus","string","Mail Order Buyer","yes"
"cmsd2_can_mal_meso/sft_tissue_pmpm_ct","float","claims per month related to neoplasms : malignant neoplasms of mesothelial and soft tissue in the past one year {based on CMS diagnosis code level2}","no"
"rx_hum_12_pmpm_cost","float","cost per month of prescriptions related to CARDIOLOGY - BLOOD THINNERS drugs in the past one year {Based on Humana drug classification}","no"
"bh_ip_rehab_allowed_pmpm_cost","double","allowed cost per month for behavioral health claims related to rehabilitation inpatient facilities in the past one year","no"
"rx_hum_84_pmpm_ct","float","count per month of prescriptions related to RESPIRATORY - IPF AGENTS drugs in the past one year {Based on Humana drug classification}","no"
"cmsd2_ext_under_intent_pmpm_ct","float","claims per month related to external causes of morbidity : event of undetermined intent in the past one year {based on CMS diagnosis code level2}","no"
"rx_hum_39_pmpm_cost","float","cost per month of prescriptions related to GASTROINTESTINAL DISEASE drugs in the past one year {Based on Humana drug classification}","no"
"cnt_cp_vat_11","integer","count per month of member interactions via vat with a lag of _11 from the score date in the past one year","yes"
"rx_mail_pmpm_cost","float","cost per month of prescriptions related to mail drugs in the past one year","yes"
"cmsd2_bld_aplastic/other_anemia/bonemarrow_pmpm_ct","float","claims per month related to diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism : aplastic and other anemias and other bone marrow failure syndromes in the past one year {based on CMS diagnosis code level2}","no"
"credit_bal_consumerfinance_new","double","Balance Consumer Finance Accts New w/in 12 months","no"
"rev_pm_er_pmpm_cd_ct","float","claim lines per month for a revenue code related to emergency room in the past one year","yes"
"cmsd2_eye_ocular_movement_pmpm_ct","float","claims per month related to diseases of the eye and adnexa : disorders of ocular muscles, binocular movement, accommodation and refraction in the past one year {based on CMS diagnosis code level2}","yes"
"cmsd2_res_res_other_pmpm_ct","float","claims per month related to diseases of the respiratory system : other diseases of the respiratory system in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_gus_f_genital_pmpm_ct","float","claims per month related to diseases of the genitourinary system : noninflammatory disorders of female genital tract in the past one year {based on CMS diagnosis code level2}","no"
"bh_physician_office_allowed_pmpm_cost","double","allowed cost per month for behavioral health claims related to physician office in the past one year","no"
"rx_hum_74_pmpm_ct","float","count per month of prescriptions related to PAIN MGMT - ANASTHETIC AGENTS drugs in the past one year {Based on Humana drug classification}","no"
"atlas_totalpopest2016","double","Population Size","yes"
"cnt_cp_vat_pmpm_ct","float","count per month of member interactions via vat in the past one year","yes"
"cnt_cp_webstatement_8","integer","count per month of member interactions via webstatement with a lag of _8 from the score date in the past one year","yes"
"cnt_cp_vat_5","integer","count per month of member interactions via vat with a lag of _5 from the score date in the past one year","yes"
"cnt_cp_emails_8","integer","count per month of member interactions via emails with a lag of _8 from the score date in the past one year","yes"
"cmsd2_cir_arteries_pmpm_ct","float","claims per month related to diseases of the circulatory system : diseases of arteries, arterioles and capillaries in the past one year {based on CMS diagnosis code level2}","yes"
"rev_pm_sn_pmpm_cd_ct","float","claim lines per month for a revenue code related to skilled nursing in the past one year","no"
"cmsd2_sns_ner/mus_pmpm_ct","float","claims per month related to symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified : symptoms and signs involving the nervous and musculoskeletal systems in the past one year {based on CMS diagnosis code level2}","no"
"rx_hum_38_pmpm_ct","float","count per month of prescriptions related to FERTILITY drugs in the past one year {Based on Humana drug classification}","yes"
"rx_hum_49_pmpm_cost","float","cost per month of prescriptions related to IMMUNE GLOBULIN AGENTS drugs in the past one year {Based on Humana drug classification}","no"
"cms_tot_partd_payment_amt","float","Total Part D Payment Amount","no"
"rx_nonbh_pmpm_cost","float","cost per month of prescriptions related to non behavioral health drugs in the past one year","yes"
"rx_hum_03_pmpm_ct","float","count per month of prescriptions related to ANTI-INFECTIVES - HEPATITIS B AGENTS drugs in the past one year {Based on Humana drug classification}","no"
"cmsd2_cir_veins_pmpm_ct","float","claims per month related to diseases of the circulatory system : diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified in the past one year {based on CMS diagnosis code level2}","no"
"rev_pm_osteo_pmpm_cd_ct","float","claim lines per month for a revenue code related to osteopathic services in the past one year","no"
"cmsd2_men_men_adult_pmpm_ct","float","claims per month related to mental, behavioral and neurodevelopmental disorders : disorders of adult personality and behavior in the past one year {based on CMS diagnosis code level2}","no"
"rx_hum_81_pmpm_ct","float","count per month of prescriptions related to RESPIRATORY - ASTHMA drugs in the past one year {Based on Humana drug classification}","no"
"total_ip_acute_ds_clm","integer","days since last claim for overall claims related to acute inpatient facilities in the past one year","no"
"cmsd2_ext_med_proc_compl_pmpm_ct","float","claims per month related to external causes of morbidity : surgical and other medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_end_postproc_compl_pmpm_ct","float","claims per month related to endocrine, nutritional and metabolic diseases : postprocedural endocrine and metabolic complications and disorders, not elsewhere classified in the past one year {based on CMS diagnosis code level2}","no"
"rx_nonmaint_pmpm_ct","float","count per month of prescriptions related to non maintenance drugs in the past one year","yes"
"cmsd2_mus_mus_other_pmpm_ct","float","claims per month related to diseases of the musculoskeletal system and connective tissue : other disorders of the musculoskeletal system and connective tissue in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_dig_peritoneum/retro_pmpm_ct","float","claims per month related to diseases of the digestive system : diseases of peritoneum and retroperitoneum in the past one year {based on CMS diagnosis code level2}","no"
"rx_hum_43_pmpm_cost","float","cost per month of prescriptions related to GAUCHER DISEASE drugs in the past one year {Based on Humana drug classification}","no"
"cons_stlnindx","integer","Student Loan Index","yes"
"bh_cdal_pmpm_ct","float","count per month of behavioral health claims related to chemical dependence: alcohol in the past one year","no"
"cmsd2_skn_erticaria/erythema_pmpm_ct","float","claims per month related to diseases of the skin and subcutaneous tissue : urticaria and erythema in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_mus_joint_pmpm_ct","float","claims per month related to diseases of the musculoskeletal system and connective tissue : other joint disorders in the past one year {based on CMS diagnosis code level2}","yes"
"cmsd2_vco_genetic_pmpm_ct","float","claims per month related to factors influencing health status and contact with health services : genetic carrier and genetic susceptibility to disease in the past one year {based on CMS diagnosis code level2}","no"
"rx_hum_53_pmpm_cost","float","cost per month of prescriptions related to MENTAL HEALTH - ADHD AGENTS drugs in the past one year {Based on Humana drug classification}","no"
"total_er_obs_ct_pmpm","double","claims per month for overall claims related to emergency room observations in the past one year","no"
"cmsd2_ext_animate_mech_force_pmpm_ct","float","claims per month related to external causes of morbidity : exposure to animate mechanical forces in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_inf_protozoal_pmpm_ct","float","claims per month related to certain infectious and parasitic diseases : protozoal diseases in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_vco_repro_pmpm_ct","float","claims per month related to factors influencing health status and contact with health services : persons encountering health services in circumstances related to reproduction in the past one year {based on CMS diagnosis code level2}","no"
"cnt_cp_livecall_10","integer","count per month of member interactions via livecall with a lag of _10 from the score date in the past one year","no"
"cmsd2_end_end_glands_pmpm_ct","float","claims per month related to endocrine, nutritional and metabolic diseases : disorders of other endocrine glands in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_inf_sti_pmpm_ct","float","claims per month related to certain infectious and parasitic diseases : infections with a predominantly sexual mode of transmission in the past one year {based on CMS diagnosis code level2}","no"
"cnt_cp_vat_6","integer","count per month of member interactions via vat with a lag of _6 from the score date in the past one year","yes"
"rx_hum_55_pmpm_cost","float","cost per month of prescriptions related to MENTAL HEALTH - ANTIPSYCHOTIC AGENTS drugs in the past one year {Based on Humana drug classification}","no"
"cmsd2_sns_speech_pmpm_ct","float","claims per month related to symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified : symptoms and signs involving speech and voice in the past one year {based on CMS diagnosis code level2}","no"
"cnt_cp_vat_1","integer","count per month of member interactions via vat with a lag of _1 from the score date in the past one year","yes"
"cci_lvr_s_pmpm_ct","float","count per month of claims related to moderate or severe liver disease in the past one year {Based on Charlson Comorbidity Index Categories}","no"
"rev_pm_pulmn_pmpm_cd_ct","float","claim lines per month for a revenue code related to pulmonary function in the past one year","no"
"rx_hum_42_pmpm_cost","float","cost per month of prescriptions related to GASTROINTESTINAL DISEASE - IBS/UC/CROHNS drugs in the past one year {Based on Humana drug classification}","no"
"rx_hum_71_pmpm_cost","float","cost per month of prescriptions related to OPHTHALMOLOGY - STEROID AGENTS drugs in the past one year {Based on Humana drug classification}","no"
"rx_hum_36_pmpm_ct","float","count per month of prescriptions related to ENDOCRINOLOGY drugs in the past one year {Based on Humana drug classification}","no"
"cmsd2_inj_drugs_pmpm_ct","float","claims per month related to injury, poisoning and certain other consequences of external causes : poisoning by, adverse effect of and underdosing of drugs, medicaments and biological substances in the past one year {based on CMS diagnosis code level2}","no"
"med_ambulance_ds_clm","integer","days since last claim for non-behavioral health claims related to ambulance place of treatment in the past one year","no"
"cmsd2_neo_gestation_pmpm_ct","float","claims per month related to certain conditions originating in the perinatal period : disorders of newborn related to length of gestation and fetal growth in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_inj_frostbite_pmpm_ct","float","claims per month related to injury, poisoning and certain other consequences of external causes : frostbite in the past one year {based on CMS diagnosis code level2}","no"
"rx_hum_06_pmpm_cost","float","cost per month of prescriptions related to ANTICONVULSANTS drugs in the past one year {Based on Humana drug classification}","no"
"rx_hum_32_pmpm_ct","float","count per month of prescriptions related to DERMATOLOGY - PSORIASIS AGENTS drugs in the past one year {Based on Humana drug classification}","yes"
"cmsd2_end_obese_pmpm_ct","float","claims per month related to endocrine, nutritional and metabolic diseases : overweight, obesity and other hyperalimentation in the past one year {based on CMS diagnosis code level2}","yes"
"cci_cpd_pmpm_ct","float","count per month of claims related to chronic pulmonary disease in the past one year {Based on Charlson Comorbidity Index Categories}","yes"
"total_ip_acute_allowed_pmpm_cost","double","allowed cost per month for overall claims related to acute inpatient facilities in the past one year","no"
"rx_hum_51_pmpm_cost","float","cost per month of prescriptions related to IMPOTENCE drugs in the past one year {Based on Humana drug classification}","no"
"total_urgent_care_visit_ct_pmpm","double","visits per month for overall claims related to urgent care in the past one year","yes"
"rx_hum_19_pmpm_ct","float","count per month of prescriptions related to CHEMOTHERAPY - ANTIANDROGENS drugs in the past one year {Based on Humana drug classification}","no"
"rx_hum_35_pmpm_cost","float","cost per month of prescriptions related to EAR/MOUTH/THROAT drugs in the past one year {Based on Humana drug classification}","no"
"rx_hum_40_pmpm_ct","float","count per month of prescriptions related to GASTROINTESTINAL DISEASE - CONSTIPATION drugs in the past one year {Based on Humana drug classification}","yes"
"rx_hum_07_pmpm_cost","float","cost per month of prescriptions related to ANTIDOTES drugs in the past one year {Based on Humana drug classification}","no"
"rev_pm_ccu_pmpm_cd_ct","float","claim lines per month for a revenue code related to coronary care unit in the past one year","no"
"cmsd1_res_pmpm_ct","float","claims per month related to diseases of the respiratory system in the past one year {based on CMS diagnosis code level1}","yes"
"rev_pm_raddia_pmpm_cd_ct","float","claim lines per month for a revenue code related to radiology - diagnostic in the past one year","yes"
"cmsd2_inf_tb_pmpm_ct","float","claims per month related to certain infectious and parasitic diseases : tuberculosis in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_cir_cer_pmpm_ct","float","claims per month related to diseases of the circulatory system : cerebrovascular diseases in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_men_mad_ind","integer","a binary value indicating if a service related to mental, behavioral and neurodevelopmental disorders : mood [affective] disorders was performed in the past one year {based on CMS diagnosis code level2}","yes"
"rx_hum_08_pmpm_cost","float","cost per month of prescriptions related to ANTISEPTIC SUPPLIES drugs in the past one year {Based on Humana drug classification}","no"
"cms_institutional_ind","integer","Binary indicator that identifies a member is an institutional member","no"
"rev_pm_inc_pmpm_cd_ct","float","claim lines per month for a revenue code related to incremental nursing charge in the past one year","no"
"rx_hum_58_pmpm_cost","float","cost per month of prescriptions related to NEUROLOGY drugs in the past one year {Based on Humana drug classification}","no"
"cmsd2_pre_labor_pmpm_ct","float","claims per month related to pregnancy, childbirth and the puerperium : complications of labor and delivery in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_ner_cns_atrophy_pmpm_ct","float","claims per month related to diseases of the nervous system : systemic atrophies primarily affecting the central nervous system in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_neo_screening_pmpm_ct","float","claims per month related to certain conditions originating in the perinatal period : abnormal findings on neonatal screening in the past one year {based on CMS diagnosis code level2}","no"
"cmsd1_dig_pmpm_ct","float","claims per month related to diseases of the digestive system in the past one year {based on CMS diagnosis code level1}","yes"
"rev_pm_profee_pmpm_cd_ct","float","claim lines per month for a revenue code related to professional fees in the past one year","no"
"bh_agad_pmpm_ct","float","count per month of behavioral health claims related to anxiety gad in the past one year","no"
"rx_hum_80_pmpm_ct","float","count per month of prescriptions related to RESPIRATORY - ALPHA-1INHIBITORS drugs in the past one year {Based on Humana drug classification}","no"
"total_ip_maternity_ds_clm","integer","days since last claim for overall claims related to maternity inpatient facilities in the past one year","no"
"total_ip_mhsa_allowed_pmpm_cost","double","allowed cost per month for overall claims related to mental health and substance abuse inpatient facilities in the past one year","no"
"cmsd2_end_glucose_reg/pan_int_sec_pmpm_ct","float","claims per month related to endocrine, nutritional and metabolic diseases : other disorders of glucose regulation and pancreatic internal secretion in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_gus_tubulointer_pmpm_ct","float","claims per month related to diseases of the genitourinary system : renal tubulo-interstitial diseases in the past one year {based on CMS diagnosis code level2}","no"
"cms_ra_factor_type_cd","string","Code indicating the type of risk adjustment factors in use for a member","yes"
"cons_ccip","float","Census Income Percentile","yes"
"cmsd2_ext_suppl_factors_pmpm_ct","float","claims per month related to external causes of morbidity : supplementary factors related to causes of morbidity classified elsewhere in the past one year {based on CMS diagnosis code level2}","no"
"bh_psot_pmpm_ct","float","count per month of behavioral health claims related to psychoses other in the past one year","no"
"cmsd2_ext_air/space_pmpm_ct","float","claims per month related to external causes of morbidity : air and space transport accidents in the past one year {based on CMS diagnosis code level2}","no"
"rx_hum_15_pmpm_cost","float","cost per month of prescriptions related to CARDIOLOGY - GROWTH FACTORS drugs in the past one year {Based on Humana drug classification}","no"
"bh_dema_pmpm_ct","float","count per month of behavioral health claims related to major depression in the past one year","yes"
"cmsd2_inj_inj_mult_pmpm_ct","float","claims per month related to injury, poisoning and certain other consequences of external causes : injuries involving multiple body regions in the past one year {based on CMS diagnosis code level2}","no"
"prov_line_pmpm_cnt","double","count per month of distinct provider lines in the past one year {Based on provider line(FB-facility, PC-primary care, SP-specialist)}","yes"
"bh_ndid_pmpm_ct","float","count per month of behavioral health claims related to neuro development disorder: intellectual disability in the past one year","no"
"bh_cdto_pmpm_ct","float","count per month of behavioral health claims related to chemical dependence: tobacco in the past one year","yes"
"rx_days_since_last_script","integer","days since last prescription in the past one year","yes"
"bh_bipr_pmpm_ct","float","count per month of behavioral health claims related to bipolar in the past one year","no"
"rx_hum_14_pmpm_ct","float","count per month of prescriptions related to CARDIOLOGY - CLOTTING FACTORS drugs in the past one year {Based on Humana drug classification}","no"
"rx_otc_pmpm_ct","float","count per month of prescriptions related to over the counter drugs in the past one year","no"
"cms_risk_adj_payment_rate_b_amt","float","Risk Adjustment Payment Rate B","no"
"cmsd2_res_pleura_pmpm_ct","float","claims per month related to diseases of the respiratory system : other diseases of the pleura in the past one year {based on CMS diagnosis code level2}","no"
"rx_phar_cat_express_scripts_pmpm_ct","float","count per month of prescriptions purchased at express scripts pharmacy in the past one year","no"
"rx_hum_31_pmpm_cost","float","cost per month of prescriptions related to DERMATOLOGY - ACNE drugs in the past one year {Based on Humana drug classification}","no"
"cmsd2_men_men_other_pmpm_ct","float","claims per month related to mental, behavioral and neurodevelopmental disorders : unspecified mental disorder in the past one year {based on CMS diagnosis code level2}","no"
"bh_aoth_pmpm_ct","float","count per month of behavioral health claims related to anxiety other in the past one year","no"
"cmsd2_can_ben_neo_pmpm_ct","float","claims per month related to neoplasms : benign neoplasms, except benign neuroendocrine tumors in the past one year {based on CMS diagnosis code level2}","yes"
"cci_score","float","Charlson Comorbidity Index value {sum of clinical and age components - adjusted for hierarchy} based on claims in the past one year","yes"
"cmsd2_skn_skn_inf_pmpm_ct","float","claims per month related to diseases of the skin and subcutaneous tissue : infections of the skin and subcutaneous tissue in the past one year {based on CMS diagnosis code level2}","no"
"rx_hum_18_pmpm_ct","float","count per month of prescriptions related to CHEMOTHERAPY drugs in the past one year {Based on Humana drug classification}","no"
"rx_hum_37_pmpm_ct","float","count per month of prescriptions related to ENDOCRINOLOGY - GOUT drugs in the past one year {Based on Humana drug classification}","no"
"rwjf_drinkwater_violate_ind","float","Physical Environment - Indicator of the presence of health-related drinking water violations. Yes indicates the presence of a violation, No indicates no violation","yes"
"cnt_cp_vat_9","integer","count per month of member interactions via vat with a lag of _9 from the score date in the past one year","yes"
"rev_pm_conv_pmpm_cd_ct","float","claim lines per month for a revenue code related to patient convenience items in the past one year","no"
"atlas_pct_diabetes_adults13","double","Adult Diabetes Rate","yes"
"rwjf_teen_births_rate","float","Health Behaviors - Number of births per 1K female population ages 15-19","yes"
"cmsd2_ext_other_unspec_transport_pmpm_ct","float","claims per month related to external causes of morbidity : other and unspecified transport accidents in the past one year {based on CMS diagnosis code level2}","no"
"rev_pm_subac_pmpm_cd_ct","float","claim lines per month for a revenue code related to subacute care in the past one year","no"
"cons_homstat","string","Homeowner Status","yes"
"atlas_net_international_migration_rate","double","Net international migration rate 2010-2016","yes"
"cmsd2_inf_parasitic_pmpm_ct","float","claims per month related to certain infectious and parasitic diseases : sequelae of infectious and parasitic diseases in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_vco_vco_other_spec_pmpm_ct","float","claims per month related to factors influencing health status and contact with health services : encounters for other specific health care in the past one year {based on CMS diagnosis code level2}","yes"
"rx_generic_pmpm_ct","float","count per month of prescriptions related to generic drugs in the past one year","yes"
"cnt_cp_print_2","integer","count per month of member interactions via print with a lag of _2 from the score date in the past one year","yes"
"rx_phar_cat_prescribeit_rx_pmpm_ct","float","count per month of prescriptions purchased at prescribeit rx pharmacy in the past one year","no"
"med_urgent_care_ds_clm","integer","days since last claim for non-behavioral health claims related to urgent care in the past one year","no"
"rx_hum_18_pmpm_cost","float","cost per month of prescriptions related to CHEMOTHERAPY drugs in the past one year {Based on Humana drug classification}","no"
"rx_hum_04_pmpm_ct","float","count per month of prescriptions related to ANTI-INFECTIVES - HEPATITIS C AGENTS drugs in the past one year {Based on Humana drug classification}","no"
"rwjf_mv_deaths_rate","float","Health Behaviors - Motor vehicle crash deaths","yes"
"cnt_cp_webstatement_7","integer","count per month of member interactions via webstatement with a lag of _7 from the score date in the past one year","yes"
"cms_hospice_ind","integer","Binary indicator that identifies if a member is receiving hospice care","no"
"rx_hum_72_pmpm_ct","float","count per month of prescriptions related to OSTEOPOROSIS drugs in the past one year {Based on Humana drug classification}","no"
"cnt_cp_emails_7","integer","count per month of member interactions via emails with a lag of _7 from the score date in the past one year","yes"
"cms_dual_eligible_ind","integer","Binary indicator that a member is eligible for Medicaid and Medicare with PartD Low Income Multiplier","yes"
"rev_pm_nucl_pmpm_cd_ct","float","claim lines per month for a revenue code related to nuclear medicine in the past one year","no"
"rx_hum_28_pmpm_cost","float","cost per month of prescriptions related to CONTRACEPTIVES drugs in the past one year {Based on Humana drug classification}","no"
"rx_hum_01_pmpm_cost","float","cost per month of prescriptions related to ALTERNATIVE MEDICINE drugs in the past one year {Based on Humana drug classification}","no"
"rx_tier_1_pmpm_ct","float","count per month of prescriptions related to Tier 1 drugs in the past one year","yes"
"rwjf_population","float","Demographics - Population","yes"
"cms_orig_reas_entitle_cd","string","Code indicating the original reason for entry into Medicare","yes"
"cmsd1_mus_pmpm_ct","float","claims per month related to diseases of the musculoskeletal system and connective tissue in the past one year {based on CMS diagnosis code level1}","yes"
"atlas_totalocchu","double","Total number of occupied housing units","yes"
"cons_stlindex","integer","Short Term Loan Index","yes"
"cmsd2_mus_periprosthetic_pmpm_ct","float","claims per month related to diseases of the musculoskeletal system and connective tissue : periprosthetic fracture around internal prosthetic joint in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_ner_myoneural_pmpm_ct","float","claims per month related to diseases of the nervous system : diseases of myoneural junction and muscle in the past one year {based on CMS diagnosis code level2}","no"
"rx_hum_44_pmpm_cost","float","cost per month of prescriptions related to GENITOURINARY drugs in the past one year {Based on Humana drug classification}","no"
"cmsd2_ear_ear_other_pmpm_ct","float","claims per month related to diseases of the ear and mastoid process : other disorders of ear in the past one year {based on CMS diagnosis code level2}","yes"
"cmsd2_end_inoper_compl_pmpm_ct","float","claims per month related to endocrine, nutritional and metabolic diseases : intraoperative complications of endocrine system in the past one year {based on CMS diagnosis code level2}","no"
"med_outpatient_ds_clm","integer","days since last claim for non-behavioral health claims related to outpatient facilities in the past one year","yes"
"cmsd2_res_interstitium_pmpm_ct","float","claims per month related to diseases of the respiratory system : other respiratory diseases principally affecting the interstitium in the past one year {based on CMS diagnosis code level2}","no"
"total_med_allowed_pmpm_cost","double","allowed cost per month for non-behavioral health claims in the past one year","yes"
"rwjf_violent_crime_rate","float","Social and Economic Factors - Number of reported violent crime offenses per 100K population","yes"
"cmsd2_ner_nerve/plexus_pmpm_ct","float","claims per month related to diseases of the nervous system : nerve, nerve root and plexus disorders in the past one year {based on CMS diagnosis code level2}","no"
"rx_hum_67_pmpm_ct","float","count per month of prescriptions related to OPHTHALMOLOGY - ANTI-INFECTIVE AGENTS drugs in the past one year {Based on Humana drug classification}","no"
"cmsd2_inj_inj_unspec_pmpm_ct","float","claims per month related to injury, poisoning and certain other consequences of external causes : injury of unspecified body region in the past one year {based on CMS diagnosis code level2}","no"
"rev_pm_mag_pmpm_cd_ct","float","claim lines per month for a revenue code related to magnetoencephalography in the past one year","no"
"cmsd2_gus_urinary_other_pmpm_ct","float","claims per month related to diseases of the genitourinary system : other diseases of the urinary system in the past one year {based on CMS diagnosis code level2}","yes"
"rev_pm_swtrp_pmpm_cd_ct","float","claim lines per month for a revenue code related to extra-corporeal shock wave therapy in the past one year","no"
"cnt_cp_emails_pmpm_ct","float","count per month of member interactions via emails in the past one year","yes"
"rx_hum_64_pmpm_cost","float","cost per month of prescriptions related to OPHTHALMOLOGY drugs in the past one year {Based on Humana drug classification}","no"
"rx_hum_79_pmpm_ct","float","count per month of prescriptions related to PRODUCTS/ SUPPLIES drugs in the past one year {Based on Humana drug classification}","no"
"cmsd2_bld_immune_pmpm_ct","float","claims per month related to diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism : certain disorders involving the immune mechanism in the past one year {based on CMS diagnosis code level2}","no"
